Case,Asaba_Rad,Full_Case
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'wife': '1/8'}","{'paternal_halfbrother': '3/8', 'daughter': '1/2', 'wife': '1/8'}",,"{'paternal_halfbrother': 3.0, 'daughter': 4.0, 'wife': 1.0, 'total_shares': 8.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'mutiqa': '0'}","{'paternal_halfbrother': '1/2', 'daughter': '1/2', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'daughter_of_son': '0'}","{'paternal_halfbrother': '1/3', 'daughter_x2': '2/3', 'daughter_of_son': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter_of_son': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'daughter_of_son_x2': '0'}","{'paternal_halfbrother': '1/3', 'daughter_x2': '2/3', 'daughter_of_son_x2': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'mother': '1/6'}","{'paternal_halfbrother': '1/6', 'daughter_x2': '2/3', 'mother': '1/6'}",,"{'paternal_halfbrother': 1.0, 'mother': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '1/6', 'daughter_x2': '2/3', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 1.0, 'grandmother_father': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '1/6', 'daughter_x2': '2/3', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 1.0, 'grandmother_mother': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': '0', 'daughter_x2': '2/3', 'sister': 'A'}","{'paternal_halfbrother': '0', 'daughter_x2': '2/3', 'sister': '1/3'}",,"{'paternal_halfbrother': 0, 'sister': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': '0', 'daughter_x2': '2/3', 'sister_x2': 'A'}","{'paternal_halfbrother': '0', 'daughter_x2': '2/3', 'sister_x2': '1/3'}",,"{'paternal_halfbrother': 0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '2/9', 'daughter_x2': '2/3', 'paternal_halfsister': '1/9'}",,"{'paternal_halfbrother': 2.0, 'paternal_halfsister': 1.0, 'daughter_1': 3.0, 'daughter_2': 3.0, 'total_shares': 9.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/6', 'daughter_x2': '2/3', 'paternal_halfsister_x2': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter_1': 4.0, 'daughter_2': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'maternal_halfsister': '0'}","{'paternal_halfbrother': '1/3', 'daughter_x2': '2/3', 'maternal_halfsister': '0'}",,"{'paternal_halfbrother': 1.0, 'maternal_halfsister': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'maternal_halfsister_x2': '0'}","{'paternal_halfbrother': '1/3', 'daughter_x2': '2/3', 'maternal_halfsister_x2': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'wife': '1/8'}","{'paternal_halfbrother': '5/24', 'daughter_x2': '2/3', 'wife': '1/8'}",,"{'paternal_halfbrother': 5.0, 'wife': 3.0, 'daughter_1': 8.0, 'daughter_2': 8.0, 'total_shares': 24.0}"
"{'paternal_halfbrother': 'A', 'daughter_x2': '2/3', 'mutiqa': '0'}","{'paternal_halfbrother': '1/3', 'daughter_x2': '2/3', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'mutiqa': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'mother': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter_of_son': '1/2', 'mother': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter_of_son': 3.0, 'mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter_of_son': '1/2', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter_of_son': 3.0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter_of_son': '1/2', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter_of_son': 3.0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': '0', 'daughter_of_son': '1/2', 'sister': 'A'}","{'paternal_halfbrother': '0', 'daughter_of_son': '1/2', 'sister': '1/2'}",,"{'paternal_halfbrother': 0, 'daughter_of_son': 1.0, 'sister': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': '0', 'daughter_of_son': '1/2', 'sister_x2': 'A'}","{'paternal_halfbrother': '0', 'daughter_of_son': '1/2', 'sister_x2': '1/2'}",,"{'paternal_halfbrother': 0, 'daughter_of_son': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '1/3', 'daughter_of_son': '1/2', 'paternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter_of_son': 3.0, 'paternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/4', 'daughter_of_son': '1/2', 'paternal_halfsister_x2': '1/4'}",,"{'paternal_halfbrother': 2.0, 'daughter_of_son': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 8.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'maternal_halfsister': '0'}","{'paternal_halfbrother': '1/2', 'daughter_of_son': '1/2', 'maternal_halfsister': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter_of_son': 1.0, 'maternal_halfsister': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'maternal_halfsister_x2': '0'}","{'paternal_halfbrother': '1/2', 'daughter_of_son': '1/2', 'maternal_halfsister_x2': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter_of_son': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'wife': '1/8'}","{'paternal_halfbrother': '3/8', 'daughter_of_son': '1/2', 'wife': '1/8'}",,"{'paternal_halfbrother': 3.0, 'daughter_of_son': 4.0, 'wife': 1.0, 'total_shares': 8.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son': '1/2', 'mutiqa': '0'}","{'paternal_halfbrother': '1/2', 'daughter_of_son': '1/2', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter_of_son': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'mother': '1/6'}","{'paternal_halfbrother': '1/6', 'daughter_of_son_x2': '2/3', 'mother': '1/6'}",,"{'paternal_halfbrother': 1.0, 'mother': 1.0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '1/6', 'daughter_of_son_x2': '2/3', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 1.0, 'grandmother_father': 1.0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '1/6', 'daughter_of_son_x2': '2/3', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 1.0, 'grandmother_mother': 1.0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': '0', 'daughter_of_son_x2': '2/3', 'sister': 'A'}","{'paternal_halfbrother': '0', 'daughter_of_son_x2': '2/3', 'sister': '1/3'}",,"{'paternal_halfbrother': 0, 'sister': 1.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': '0', 'daughter_of_son_x2': '2/3', 'sister_x2': 'A'}","{'paternal_halfbrother': '0', 'daughter_of_son_x2': '2/3', 'sister_x2': '1/3'}",,"{'paternal_halfbrother': 0, 'daughter_of_son_1': 2.0, 'daughter_of_son_2': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '2/9', 'daughter_of_son_x2': '2/3', 'paternal_halfsister': '1/9'}",,"{'paternal_halfbrother': 2.0, 'paternal_halfsister': 1.0, 'daughter_of_son_1': 3.0, 'daughter_of_son_2': 3.0, 'total_shares': 9.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/6', 'daughter_of_son_x2': '2/3', 'paternal_halfsister_x2': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter_of_son_1': 4.0, 'daughter_of_son_2': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'maternal_halfsister': '0'}","{'paternal_halfbrother': '1/3', 'daughter_of_son_x2': '2/3', 'maternal_halfsister': '0'}",,"{'paternal_halfbrother': 1.0, 'maternal_halfsister': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'maternal_halfsister_x2': '0'}","{'paternal_halfbrother': '1/3', 'daughter_of_son_x2': '2/3', 'maternal_halfsister_x2': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'wife': '1/8'}","{'paternal_halfbrother': '5/24', 'daughter_of_son_x2': '2/3', 'wife': '1/8'}",,"{'paternal_halfbrother': 5.0, 'wife': 3.0, 'daughter_of_son_1': 8.0, 'daughter_of_son_2': 8.0, 'total_shares': 24.0}"
"{'paternal_halfbrother': 'A', 'daughter_of_son_x2': '2/3', 'mutiqa': '0'}","{'paternal_halfbrother': '1/3', 'daughter_of_son_x2': '2/3', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'mutiqa': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/3', 'grandmother_father': '0'}","{'paternal_halfbrother': '2/3', 'mother': '1/3', 'grandmother_father': '0'}",,"{'paternal_halfbrother': 2.0, 'mother': 1.0, 'grandmother_father': 0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/3', 'grandmother_mother': '0'}","{'paternal_halfbrother': '2/3', 'mother': '1/3', 'grandmother_mother': '0'}",,"{'paternal_halfbrother': 2.0, 'mother': 1.0, 'grandmother_mother': 0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/6', 'sister': '1/2'}","{'paternal_halfbrother': '1/3', 'mother': '1/6', 'sister': '1/2'}",,"{'paternal_halfbrother': 2.0, 'mother': 1.0, 'sister': 3.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/6', 'sister_x2': '2/3'}","{'paternal_halfbrother': '1/6', 'mother': '1/6', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'mother': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/6', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '5/9', 'mother': '1/6', 'paternal_halfsister': '5/18'}",,"{'paternal_halfbrother': 10.0, 'mother': 3.0, 'paternal_halfsister': 5.0, 'total_shares': 18.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/6', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '5/12', 'mother': '1/6', 'paternal_halfsister_x2': '5/12'}",,"{'paternal_halfbrother': 10.0, 'mother': 4.0, 'paternal_halfsister_1': 5.0, 'paternal_halfsister_2': 5.0, 'total_shares': 24.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/6', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '2/3', 'mother': '1/6', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 4.0, 'mother': 1.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '1/2', 'mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 3.0, 'mother': 1.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/3', 'wife': '1/4'}","{'paternal_halfbrother': '5/12', 'mother': '1/3', 'wife': '1/4'}",,"{'paternal_halfbrother': 5.0, 'mother': 4.0, 'wife': 3.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'mother': '1/3', 'mutiqa': '0'}","{'paternal_halfbrother': '2/3', 'mother': '1/3', 'mutiqa': '0'}",,"{'paternal_halfbrother': 2.0, 'mother': 1.0, 'mutiqa': 0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': 'share 1/6', 'grandmother_mother': 'share 1/6'}","{'paternal_halfbrother': '5/6', 'grandmother_father': 'share 1/6', 'grandmother_mother': 'share 1/6'}",,"{'paternal_halfbrother': 10.0, 'grandmother_father': 1.0, 'grandmother_mother': 1.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'sister': '1/2'}","{'paternal_halfbrother': '1/3', 'grandmother_father': '1/6', 'sister': '1/2'}",,"{'paternal_halfbrother': 2.0, 'grandmother_father': 1.0, 'sister': 3.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'sister_x2': '2/3'}","{'paternal_halfbrother': '1/6', 'grandmother_father': '1/6', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'grandmother_father': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '5/9', 'grandmother_father': '1/6', 'paternal_halfsister': '5/18'}",,"{'paternal_halfbrother': 10.0, 'grandmother_father': 3.0, 'paternal_halfsister': 5.0, 'total_shares': 18.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '5/12', 'grandmother_father': '1/6', 'paternal_halfsister_x2': '5/12'}",,"{'paternal_halfbrother': 10.0, 'grandmother_father': 4.0, 'paternal_halfsister_1': 5.0, 'paternal_halfsister_2': 5.0, 'total_shares': 24.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '2/3', 'grandmother_father': '1/6', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 4.0, 'grandmother_father': 1.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '1/2', 'grandmother_father': '1/6', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 3.0, 'grandmother_father': 1.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'wife': '1/4'}","{'paternal_halfbrother': '7/12', 'grandmother_father': '1/6', 'wife': '1/4'}",,"{'paternal_halfbrother': 7.0, 'grandmother_father': 2.0, 'wife': 3.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'grandmother_father': '1/6', 'mutiqa': '0'}","{'paternal_halfbrother': '5/6', 'grandmother_father': '1/6', 'mutiqa': '0'}",,"{'paternal_halfbrother': 5.0, 'grandmother_father': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'sister': '1/2'}","{'paternal_halfbrother': '1/3', 'grandmother_mother': '1/6', 'sister': '1/2'}",,"{'paternal_halfbrother': 2.0, 'grandmother_mother': 1.0, 'sister': 3.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'sister_x2': '2/3'}","{'paternal_halfbrother': '1/6', 'grandmother_mother': '1/6', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'grandmother_mother': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '5/9', 'grandmother_mother': '1/6', 'paternal_halfsister': '5/18'}",,"{'paternal_halfbrother': 10.0, 'grandmother_mother': 3.0, 'paternal_halfsister': 5.0, 'total_shares': 18.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '5/12', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': '5/12'}",,"{'paternal_halfbrother': 10.0, 'grandmother_mother': 4.0, 'paternal_halfsister_1': 5.0, 'paternal_halfsister_2': 5.0, 'total_shares': 24.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '2/3', 'grandmother_mother': '1/6', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 4.0, 'grandmother_mother': 1.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '1/2', 'grandmother_mother': '1/6', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 3.0, 'grandmother_mother': 1.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'wife': '1/4'}","{'paternal_halfbrother': '7/12', 'grandmother_mother': '1/6', 'wife': '1/4'}",,"{'paternal_halfbrother': 7.0, 'grandmother_mother': 2.0, 'wife': 3.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'grandmother_mother': '1/6', 'mutiqa': '0'}","{'paternal_halfbrother': '5/6', 'grandmother_mother': '1/6', 'mutiqa': '0'}",,"{'paternal_halfbrother': 5.0, 'grandmother_mother': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'sister': '1/2', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '1/3', 'sister': '1/2', 'paternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 2.0, 'sister': 3.0, 'paternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'sister': '1/2', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/4', 'sister': '1/2', 'paternal_halfsister_x2': '1/4'}",,"{'paternal_halfbrother': 2.0, 'sister': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 8.0}"
"{'paternal_halfbrother': 'A', 'sister': '1/2', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '1/3', 'sister': '1/2', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 2.0, 'sister': 3.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'sister': '1/2', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '1/6', 'sister': '1/2', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 1.0, 'sister': 3.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'sister': '1/2', 'wife': '1/4'}","{'paternal_halfbrother': '1/4', 'sister': '1/2', 'wife': '1/4'}",,"{'paternal_halfbrother': 1.0, 'sister': 2.0, 'wife': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'sister': '1/2', 'mutiqa': '0'}","{'paternal_halfbrother': '1/2', 'sister': '1/2', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'sister': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'sister_x2': '2/3', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '2/9', 'sister_x2': '2/3', 'paternal_halfsister': '1/9'}",,"{'paternal_halfbrother': 2.0, 'paternal_halfsister': 1.0, 'sister_1': 3.0, 'sister_2': 3.0, 'total_shares': 9.0}"
"{'paternal_halfbrother': 'A', 'sister_x2': '2/3', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/6', 'sister_x2': '2/3', 'paternal_halfsister_x2': '1/6'}",,"{'paternal_halfbrother': 2.0, 'sister_1': 4.0, 'sister_2': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'sister_x2': '2/3', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '1/6', 'sister_x2': '2/3', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 1.0, 'maternal_halfsister': 1.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'sister_x2': '2/3', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '0', 'sister_x2': '2/3', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 0, 'sister_1': 2.0, 'sister_2': 2.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'sister_x2': '2/3', 'wife': '1/4'}","{'paternal_halfbrother': '1/12', 'sister_x2': '2/3', 'wife': '1/4'}",,"{'paternal_halfbrother': 1.0, 'wife': 3.0, 'sister_1': 4.0, 'sister_2': 4.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'sister_x2': '2/3', 'mutiqa': '0'}","{'paternal_halfbrother': '1/3', 'sister_x2': '2/3', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'mutiqa': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 3.0}"
